7.0542 	INFO 	Loaded monitor calibration from ['2025_12_23 12:18']
7.0638 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
9.2226 	INFO 	Using renderer 'Intel(R) UHD Graphics' for graphics
9.2226 	INFO 	OpenGL version supported by driver is 4..
9.2409 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025FF20FA0E0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025FF20F9BD0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000025FF3C23310>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(0.0), np.float64(0.0)], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.2410 	EXP 	window1: backgroundImage = ''
9.2410 	EXP 	window1: backgroundFit = 'none'
9.6772 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.6772 	EXP 	window1: recordFrameIntervals = False
9.7401 	EXP 	window1: recordFrameIntervals = True
9.8173 	EXP 	Screen (0) actual frame rate measured at 144.04Hz
9.8175 	EXP 	window1: recordFrameIntervals = False
14.4184 	INFO 	keyboard.Keyboard is using iohub backend.
14.4184 	EXP 	Cheese: status = STARTED
14.4773 	EXP 	Created text_instr_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.04), italic=False, languageStyle='LTR', name='text_instr_2', opacity=1, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='Which one are going to buy', units='height', win=Window(...), wrapWidth=1)
14.4876 	EXP 	Created goldi = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=np.False_, flipVert=np.False_, image='goldi.jpg', interpolate=True, mask=None, maskParams=None, name='goldi', opacity=1, ori=0.0, pos=array([-0.4,  0. ]), size=array([0.2, 0.2]), texRes=128.0, units='height', win=Window(...))
14.5044 	EXP 	Created elephanthouse = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=np.False_, flipVert=np.False_, image='elephanthousre.jpg', interpolate=True, mask=None, maskParams=None, name='elephanthouse', opacity=1, ori=0.0, pos=array([-0.1,  0. ]), size=array([0.2, 0.2]), texRes=128.0, units='height', win=Window(...))
