participant,brochure_id,age,gender,reason,reaction_time,gaze_x,gaze_y
SYN_000,1,20,Female,familiarity,7.512762890486579,0.33007472880948435,-0.04192408585126568
SYN_000,2,20,Female,price,2.229935356546774,-0.008588844395822526,-0.0007104848325987512
SYN_000,3,20,Female,price,2.619605748026251,-0.30928309728317893,-0.055206616569385206
SYN_000,4,20,Female,brand,1.5005365802182917,-0.3096817941372126,-0.05682679357531961
SYN_000,5,20,Female,brand,19.493215458887132,0.4021731217199649,0.047428439110921074
SYN_001,1,22,male,familiarity,3.61976036410513,-0.24312780261883896,-0.06118985392374919
SYN_001,2,22,male,brand,2.512637139631385,-0.21598866351999274,-0.07034997991863587
SYN_001,3,22,male,price,11.089958798988064,-0.2651023001486443,-0.07243304919785457
SYN_001,4,22,male,familiarity,5.340045274421984,-0.8178701466519638,-0.0705432980041523
SYN_001,5,22,male,familiarity,1.3524438351855053,0.5054786704213514,0.0042394435834778
SYN_002,1,20,female,familiarity,5.16745272025467,-0.2808926363368807,-0.04409701343267738
SYN_002,2,20,female,brand,10.273973157382056,-0.019674520470613105,-0.027299605518373363
SYN_002,3,20,female,price,1.7897174110630756,0.1431592985797961,0.032996259217821323
SYN_002,4,20,female,familiarity,8.09175358475707,-0.22359716753347048,0.04303648006752004
SYN_002,5,20,female,brand,7.573856398840586,0.14582240349018666,-0.021205688896550234
SYN_003,1,21,Female,Price,6.667177926096354,0.09824102289153186,0.048173116481791366
SYN_003,2,21,Female,brand,12.876195824537387,0.022671999964779033,0.008893567577019586
SYN_003,3,21,Female,price,3.5407444936102075,-0.17928542342476667,-0.04572786382947848
SYN_003,4,21,Female,brand,5.6890434009928965,-0.693031642806062,0.031252030546299554
SYN_003,5,21,Female,brand,6.998596147412807,-0.00789714507182232,0.05247280682910793
SYN_004,1,26,female,brand,9.89185209323483,-0.5375066897977714,0.031545914383556466
SYN_004,2,26,female,brand,1.8739577897805983,-0.08555585732650403,-0.042488469955640026
SYN_004,3,26,female,brand,3.8907743131328636,-0.11311743141112587,-0.04170573460050722
SYN_004,4,26,female,familiarity,2.670119955146582,-0.23863091299457537,0.08379913810530636
SYN_004,5,26,female,familiarity,2.589645982983451,0.4157275693786575,0.04812654141786468
SYN_005,1,27,Female,familiarity,0.7371102681605272,-0.5181806471535171,-0.006492403930952437
SYN_005,2,27,Female,price,12.649250868764831,0.0713686650634121,0.013454839343211662
SYN_005,3,27,Female,brand,3.5876695154458225,-0.2542700685660601,-0.033489374605954386
SYN_005,4,27,Female,brand,16.948670691401787,-0.02525712606940622,-0.022044581458242028
SYN_005,5,27,Female,price,18.42443573876571,0.5380161510691527,-0.04021885787192104
SYN_006,1,27,female,brand,12.415428393203653,-0.21662297823685517,-0.06839780391712955
SYN_006,2,27,female,brand,3.325073971495862,0.6548883987945364,0.09814462920619006
SYN_006,3,27,female,brand,4.880444634374311,-0.3583457781590513,-0.08493612093287758
SYN_006,4,27,female,familiarity,5.569919647552135,0.29934785418917853,0.005243668179008926
SYN_006,5,27,female,brand,2.401089049311058,0.10644679385098332,0.06469041730442504
SYN_007,1,22,Female,Price,1.9742331794836636,0.5506205960039624,0.012589070994616747
SYN_007,2,22,Female,price,5.6738233952329775,0.08848180976044828,-0.022124592832572475
SYN_007,3,22,Female,price,4.710944697467562,0.20497452784205059,0.012016806221460303
SYN_007,4,22,Female,familiarity,2.6955423971904597,0.40721661700363065,0.003999471699965118
SYN_007,5,22,Female,familiarity,10.691640853832844,0.5483286257608088,-0.027406010623994437
SYN_008,1,25,Female,familiarity,28.3511644252255,-0.32142231541348687,-0.046512935639841546
SYN_008,2,25,Female,brand,7.289182112761496,-0.20393004919619612,-0.06347995620493066
SYN_008,3,25,Female,brand,5.756683749141061,-0.1798857798396127,-0.06969218362575592
SYN_008,4,25,Female,familiarity,2.6317826225467167,0.13904011954607765,0.061161561784275044
SYN_008,5,25,Female,brand,16.526769392343883,0.2374304175699959,0.06077004364303988
SYN_009,1,27,male,brand,5.926875535318667,0.186135266602244,-0.0425699062234033
SYN_009,2,27,male,price,15.742258196761961,0.25145170629139135,-0.006159726097465672
SYN_009,3,27,male,brand,4.7968457309695305,-0.4029803792116215,-0.10214489854992756
SYN_009,4,27,male,brand,6.428246431393805,0.6440254876949307,-0.01879284618609932
SYN_009,5,27,male,brand,3.861326346935051,-0.14248190352684734,0.02978638850426925
